product_id,store_id,stock_on_hand,reorder_level,last_updated
1049,90,257,54,2026-03-13 11:27:51.331436
1049,51,214,20,2026-03-13 11:27:51.331439
1049,48,112,11,2026-03-13 11:27:51.331442
1050,35,361,77,2026-03-13 11:27:51.331474
1050,11,435,78,2026-03-13 11:27:51.331477
1050,68,211,87,2026-03-13 11:27:51.331481
1050,41,270,58,2026-03-13 11:27:51.331484
1050,57,200,19,2026-03-13 11:27:51.331487
1051,99,356,16,2026-03-13 11:27:51.331518
1051,36,139,64,2026-03-13 11:27:51.331521
1051,1,357,34,2026-03-13 11:27:51.331524
1051,85,249,34,2026-03-13 11:27:51.331527
1051,43,67,57,2026-03-13 11:27:51.331530
1052,31,133,30,2026-03-13 11:27:51.331561
1052,46,374,60,2026-03-13 11:27:51.331564
1052,90,22,53,2026-03-13 11:27:51.331567
1052,80,245,33,2026-03-13 11:27:51.331570
1052,64,402,64,2026-03-13 11:27:51.331573
1053,85,174,34,2026-03-13 11:27:51.331623
1053,10,355,21,2026-03-13 11:27:51.331627
1053,48,414,12,2026-03-13 11:27:51.331630
1053,91,309,71,2026-03-13 11:27:51.331633
1053,83,202,17,2026-03-13 11:27:51.331637
1054,26,83,27,2026-03-13 11:27:51.331670
1054,69,339,25,2026-03-13 11:27:51.331673
1054,14,107,72,2026-03-13 11:27:51.331676
1054,10,116,27,2026-03-13 11:27:51.331679
1054,55,112,34,2026-03-13 11:27:51.331682
1055,19,172,95,2026-03-13 11:27:51.331714
1055,91,489,54,2026-03-13 11:27:51.331717
1055,14,267,30,2026-03-13 11:27:51.331723
1055,98,309,36,2026-03-13 11:27:51.331726
1055,26,145,36,2026-03-13 11:27:51.331729
1056,46,326,69,2026-03-13 11:27:51.331762
1056,22,321,51,2026-03-13 11:27:51.331765
1056,23,186,24,2026-03-13 11:27:51.331768
1056,68,268,85,2026-03-13 11:27:51.331771
1056,61,499,42,2026-03-13 11:27:51.331774
1057,68,366,68,2026-03-13 11:27:51.331807
1057,78,78,39,2026-03-13 11:27:51.331810
1057,37,450,65,2026-03-13 11:27:51.331813
1057,27,217,49,2026-03-13 11:27:51.331816
1057,36,227,65,2026-03-13 11:27:51.331819
1058,99,498,78,2026-03-13 11:27:51.331857
1058,55,61,44,2026-03-13 11:27:51.331860
1058,67,206,47,2026-03-13 11:27:51.331863
1058,48,90,73,2026-03-13 11:27:51.331866
1058,74,55,37,2026-03-13 11:27:51.331869
1059,34,393,25,2026-03-13 11:27:51.331903
1059,85,338,11,2026-03-13 11:27:51.331907
1059,26,484,41,2026-03-13 11:27:51.331910
1059,40,371,91,2026-03-13 11:27:51.331913
1059,49,448,62,2026-03-13 11:27:51.331916
1060,1,335,34,2026-03-13 11:27:51.331947
1060,61,476,20,2026-03-13 11:27:51.331950
1060,90,196,93,2026-03-13 11:27:51.331953
1060,71,461,21,2026-03-13 11:27:51.331956
1060,97,337,74,2026-03-13 11:27:51.331959
1061,66,172,36,2026-03-13 11:27:51.331990
1061,15,207,12,2026-03-13 11:27:51.331993
1061,100,336,17,2026-03-13 11:27:51.331996
1061,27,447,48,2026-03-13 11:27:51.331999
1061,72,344,100,2026-03-13 11:27:51.332002
1062,59,260,28,2026-03-13 11:27:51.332040
1062,37,193,60,2026-03-13 11:27:51.332043
1062,99,143,16,2026-03-13 11:27:51.332046
1062,9,260,75,2026-03-13 11:27:51.332049
1062,78,296,57,2026-03-13 11:27:51.332052
1063,16,349,77,2026-03-13 11:27:51.332084
1063,63,240,92,2026-03-13 11:27:51.332087
1063,21,240,22,2026-03-13 11:27:51.332090
1063,82,378,37,2026-03-13 11:27:51.332093
1063,58,210,17,2026-03-13 11:27:51.332099
1064,65,103,29,2026-03-13 11:27:51.332130
1064,77,343,99,2026-03-13 11:27:51.332133
1064,90,453,11,2026-03-13 11:27:51.332136
1064,23,122,85,2026-03-13 11:27:51.332139
1064,40,90,85,2026-03-13 11:27:51.332142
1065,23,66,89,2026-03-13 11:27:51.332173
1065,89,182,47,2026-03-13 11:27:51.332176
1065,68,109,77,2026-03-13 11:27:51.332179
1065,97,370,66,2026-03-13 11:27:51.332182
1065,80,53,86,2026-03-13 11:27:51.332185
1066,52,481,25,2026-03-13 11:27:51.332219
1066,7,98,92,2026-03-13 11:27:51.332221
1066,37,322,82,2026-03-13 11:27:51.332224
1066,29,69,11,2026-03-13 11:27:51.332227
1066,61,359,47,2026-03-13 11:27:51.332231
1067,60,249,61,2026-03-13 11:27:51.332261
1067,72,-5,18,2026-03-13 11:27:51.332265
1067,55,123,10,2026-03-13 11:27:51.332268
1067,36,359,18,2026-03-13 11:27:51.332271
1067,2,214,85,2026-03-13 11:27:51.332274
1068,8,348,90,2026-03-13 11:27:51.332304
1068,51,107,15,2026-03-13 11:27:51.332307
1068,38,11,49,2026-03-13 11:27:51.332310
1068,14,79,38,2026-03-13 11:27:51.332313
1068,31,113,51,2026-03-13 11:27:51.332316
1069,65,495,47,2026-03-13 11:27:51.332347
1069,23,319,46,2026-03-13 11:27:51.332350
1069,64,303,54,2026-03-13 11:27:51.332353
1069,73,233,20,2026-03-13 11:27:51.332356
1069,33,57,78,2026-03-13 11:27:51.332359
1070,11,107,67,2026-03-13 11:27:51.332569
1070,19,471,11,2026-03-13 11:27:51.332574
1070,43,22,64,2026-03-13 11:27:51.332577
1070,59,440,13,2026-03-13 11:27:51.332595
1070,56,46,86,2026-03-13 11:27:51.332598
1071,90,232,48,2026-03-13 11:27:51.332636
1071,92,-5,88,2026-03-13 11:27:51.332639
1071,63,187,45,2026-03-13 11:27:51.332642
1071,72,170,71,2026-03-13 11:27:51.332645
1071,6,7,96,2026-03-13 11:27:51.332652
1072,16,444,66,2026-03-13 11:27:51.332686
1072,95,295,32,2026-03-13 11:27:51.332689
1072,88,27,77,2026-03-13 11:27:51.332695
1072,23,16,45,2026-03-13 11:27:51.332698
1072,12,488,79,2026-03-13 11:27:51.332701
1073,10,308,53,2026-03-13 11:27:51.332733
1073,89,50,66,2026-03-13 11:27:51.332736
1073,12,385,19,2026-03-13 11:27:51.332739
1073,42,63,94,2026-03-13 11:27:51.332742
1073,46,472,74,2026-03-13 11:27:51.332745
1074,51,247,59,2026-03-13 11:27:51.332777
1074,2,230,88,2026-03-13 11:27:51.332780
1074,38,454,10,2026-03-13 11:27:51.332783
1074,71,122,95,2026-03-13 11:27:51.332786
1074,44,11,77,2026-03-13 11:27:51.332789
1075,43,494,100,2026-03-13 11:27:51.332821
1075,51,364,39,2026-03-13 11:27:51.332825
1075,41,246,78,2026-03-13 11:27:51.332828
1075,57,80,14,2026-03-13 11:27:51.332831
1075,55,201,90,2026-03-13 11:27:51.332834
1076,23,412,22,2026-03-13 11:27:51.332865
1076,3,181,48,2026-03-13 11:27:51.332868
1076,45,427,38,2026-03-13 11:27:51.332871
1076,14,432,32,2026-03-13 11:27:51.332874
1076,16,192,74,2026-03-13 11:27:51.332877
1077,47,373,65,2026-03-13 11:27:51.332908
1077,67,21,24,2026-03-13 11:27:51.332911
1077,38,65,33,2026-03-13 11:27:51.332914
1077,49,479,100,2026-03-13 11:27:51.332917
1077,44,245,58,2026-03-13 11:27:51.332920
1078,55,170,86,2026-03-13 11:27:51.332952
1078,81,281,71,2026-03-13 11:27:51.332955
1078,28,293,30,2026-03-13 11:27:51.332958
1078,26,418,69,2026-03-13 11:27:51.332961
1078,66,139,100,2026-03-13 11:27:51.332964
1079,67,363,66,2026-03-13 11:27:51.332996
1079,27,331,49,2026-03-13 11:27:51.333002
1079,20,266,83,2026-03-13 11:27:51.333005
1079,98,313,99,2026-03-13 11:27:51.333008
1079,78,371,81,2026-03-13 11:27:51.333011
1080,75,404,49,2026-03-13 11:27:51.333069
1080,37,392,27,2026-03-13 11:27:51.333074
1080,22,462,90,2026-03-13 11:27:51.333077
1080,92,200,36,2026-03-13 11:27:51.333080
1080,72,360,98,2026-03-13 11:27:51.333083
1081,36,322,82,2026-03-13 11:27:51.333120
1081,11,245,92,2026-03-13 11:27:51.333123
1081,53,311,16,2026-03-13 11:27:51.333126
1081,80,458,23,2026-03-13 11:27:51.333129
1081,28,341,53,2026-03-13 11:27:51.333132
1082,19,395,36,2026-03-13 11:27:51.333162
1082,52,245,34,2026-03-13 11:27:51.333165
1082,80,6,44,2026-03-13 11:27:51.333168
1082,33,250,29,2026-03-13 11:27:51.333171
1082,77,428,94,2026-03-13 11:27:51.333174
1083,34,333,84,2026-03-13 11:27:51.333206
1083,40,306,35,2026-03-13 11:27:51.333209
1083,84,330,27,2026-03-13 11:27:51.333211
1083,63,278,45,2026-03-13 11:27:51.333214
1083,47,97,29,2026-03-13 11:27:51.333216
1084,52,65,33,2026-03-13 11:27:51.333250
1084,77,393,25,2026-03-13 11:27:51.333254
1084,9,337,29,2026-03-13 11:27:51.333256
1084,72,228,18,2026-03-13 11:27:51.333259
1084,12,341,33,2026-03-13 11:27:51.333262
1085,1,9,95,2026-03-13 11:27:51.333294
1085,77,154,90,2026-03-13 11:27:51.333298
1085,5,483,51,2026-03-13 11:27:51.333301
1085,27,299,57,2026-03-13 11:27:51.333304
1085,98,184,23,2026-03-13 11:27:51.333307
1086,11,353,40,2026-03-13 11:27:51.333338
1086,69,246,99,2026-03-13 11:27:51.333341
1086,34,0,69,2026-03-13 11:27:51.333344
1086,59,109,75,2026-03-13 11:27:51.333347
1086,79,314,74,2026-03-13 11:27:51.333350
1087,44,457,89,2026-03-13 11:27:51.333381
1087,82,263,51,2026-03-13 11:27:51.333385
1087,86,425,96,2026-03-13 11:27:51.333388
1087,51,93,90,2026-03-13 11:27:51.333391
1087,36,31,41,2026-03-13 11:27:51.333394
1088,31,86,84,2026-03-13 11:27:51.333424
1088,9,479,76,2026-03-13 11:27:51.333427
1088,16,438,99,2026-03-13 11:27:51.333431
1088,36,355,66,2026-03-13 11:27:51.333434
1088,21,248,54,2026-03-13 11:27:51.333437
1089,29,300,36,2026-03-13 11:27:51.333468
1089,42,101,50,2026-03-13 11:27:51.333471
1089,70,493,51,2026-03-13 11:27:51.333477
1089,40,340,43,2026-03-13 11:27:51.333480
1089,30,169,13,2026-03-13 11:27:51.333483
1090,49,100,88,2026-03-13 11:27:51.333514
1090,28,346,20,2026-03-13 11:27:51.333518
1090,32,463,71,2026-03-13 11:27:51.333520
1090,71,337,19,2026-03-13 11:27:51.333523
1090,9,347,91,2026-03-13 11:27:51.333526
1091,2,12,22,2026-03-13 11:27:51.333557
1091,45,238,60,2026-03-13 11:27:51.333560
1091,32,249,21,2026-03-13 11:27:51.333564
1091,92,227,22,2026-03-13 11:27:51.333567
1091,95,490,73,2026-03-13 11:27:51.333570
1092,56,173,52,2026-03-13 11:27:51.333616
1092,40,419,70,2026-03-13 11:27:51.333619
1092,29,497,89,2026-03-13 11:27:51.333622
1092,28,274,33,2026-03-13 11:27:51.333625
1092,33,392,49,2026-03-13 11:27:51.333628
1093,19,154,49,2026-03-13 11:27:51.333661
1093,78,88,93,2026-03-13 11:27:51.333664
1093,91,320,78,2026-03-13 11:27:51.333667
1093,76,120,89,2026-03-13 11:27:51.333670
1093,45,499,80,2026-03-13 11:27:51.333673
1094,71,436,30,2026-03-13 11:27:51.333704
1094,67,487,45,2026-03-13 11:27:51.333708
1094,62,-5,96,2026-03-13 11:27:51.333711
1094,78,-5,98,2026-03-13 11:27:51.333714
1094,55,456,82,2026-03-13 11:27:51.333717
1095,92,469,23,2026-03-13 11:27:51.333748
1095,82,288,40,2026-03-13 11:27:51.333751
1095,56,476,87,2026-03-13 11:27:51.333754
1095,38,112,96,2026-03-13 11:27:51.333757
1095,24,186,67,2026-03-13 11:27:51.333760
1096,56,368,42,2026-03-13 11:27:51.333791
1096,72,329,90,2026-03-13 11:27:51.333794
1096,55,264,92,2026-03-13 11:27:51.333797
1096,68,100,99,2026-03-13 11:27:51.333800
1096,50,444,15,2026-03-13 11:27:51.333803
1097,22,500,63,2026-03-13 11:27:51.333839
1097,99,342,95,2026-03-13 11:27:51.333842
1097,78,207,74,2026-03-13 11:27:51.333845
1097,35,435,37,2026-03-13 11:27:51.333848
1097,95,485,52,2026-03-13 11:27:51.333854
1098,6,236,58,2026-03-13 11:27:51.333885
1098,33,307,80,2026-03-13 11:27:51.333888
1098,29,234,54,2026-03-13 11:27:51.333891
1098,30,32,38,2026-03-13 11:27:51.333894
1098,100,321,28,2026-03-13 11:27:51.333897
1099,99,29,95,2026-03-13 11:27:51.333928
1099,58,369,68,2026-03-13 11:27:51.333931
1099,26,462,78,2026-03-13 11:27:51.333936
1099,34,317,70,2026-03-13 11:27:51.333939
1099,98,104,88,2026-03-13 11:27:51.333942
1100,41,224,97,2026-03-13 11:27:51.333973
1100,20,299,78,2026-03-13 11:27:51.333976
1100,40,142,12,2026-03-13 11:27:51.333980
1100,35,295,53,2026-03-13 11:27:51.333983
1100,46,208,62,2026-03-13 11:27:51.333986
1101,87,292,35,2026-03-13 11:27:51.334017
1101,28,65,54,2026-03-13 11:27:51.334020
1101,7,289,39,2026-03-13 11:27:51.334023
1101,3,322,53,2026-03-13 11:27:51.334026
1101,25,212,27,2026-03-13 11:27:51.334029
1102,74,45,66,2026-03-13 11:27:51.334067
1102,43,8,66,2026-03-13 11:27:51.334070
1102,40,49,63,2026-03-13 11:27:51.334073
1102,21,327,14,2026-03-13 11:27:51.334076
1102,89,307,47,2026-03-13 11:27:51.334079
1103,41,95,19,2026-03-13 11:27:51.334110
1103,70,449,46,2026-03-13 11:27:51.334113
1103,97,425,26,2026-03-13 11:27:51.334117
1103,49,-5,92,2026-03-13 11:27:51.334120
1103,8,430,84,2026-03-13 11:27:51.334123
1104,35,373,28,2026-03-13 11:27:51.334154
1104,97,378,95,2026-03-13 11:27:51.334158
1104,59,84,39,2026-03-13 11:27:51.334161
1104,91,60,20,2026-03-13 11:27:51.334164
1104,28,13,33,2026-03-13 11:27:51.334167
1105,67,323,64,2026-03-13 11:27:51.334198
1105,22,411,29,2026-03-13 11:27:51.334201
1105,25,112,74,2026-03-13 11:27:51.334204
1105,61,312,74,2026-03-13 11:27:51.334207
1105,11,418,60,2026-03-13 11:27:51.334210
1106,18,215,31,2026-03-13 11:27:51.334241
1106,75,271,50,2026-03-13 11:27:51.334244
1106,27,93,38,2026-03-13 11:27:51.334250
1106,56,334,43,2026-03-13 11:27:51.334253
1106,30,161,96,2026-03-13 11:27:51.334256
1107,29,-5,17,2026-03-13 11:27:51.334287
1107,58,418,50,2026-03-13 11:27:51.334290
1107,76,495,60,2026-03-13 11:27:51.334293
1107,68,211,98,2026-03-13 11:27:51.334296
1107,69,351,63,2026-03-13 11:27:51.334299
1108,91,367,43,2026-03-13 11:27:51.334331
1108,44,141,89,2026-03-13 11:27:51.334334
1108,84,225,93,2026-03-13 11:27:51.334337
1108,22,208,85,2026-03-13 11:27:51.334340
1108,62,300,14,2026-03-13 11:27:51.334343
1109,59,-5,98,2026-03-13 11:27:51.334375
1109,79,481,60,2026-03-13 11:27:51.334378
1109,21,438,92,2026-03-13 11:27:51.334381
1109,80,291,57,2026-03-13 11:27:51.334384
1109,10,260,35,2026-03-13 11:27:51.334387
1110,15,376,25,2026-03-13 11:27:51.334421
1110,9,86,77,2026-03-13 11:27:51.334424
1110,71,448,31,2026-03-13 11:27:51.334427
1110,72,309,73,2026-03-13 11:27:51.334431
1110,14,485,75,2026-03-13 11:27:51.334440
1111,97,274,34,2026-03-13 11:27:51.334471
1111,77,238,55,2026-03-13 11:27:51.334474
