customer_id,gender,age,loyalty_status,signup_channel,city
10085,Male,49.0,Silver,Store,Pune
10086,Female,25.0,None,Store,Delhi
10087,Male,20.0,Gold,Store,Chandigarh
10088,Male,50.0,Gold,Store,Jaipur
10089,Male,53.0,None,Store,Jaipur
10090,Male,34.0,None,Store,Jaipur
10091,Male,18.0,Bronze,Store,Delhi
10092,Male,53.0,Bronze,Mobile,Mumbai
10093,Female,57.0,Bronze,Store,Jaipur
10094,Male,34.0,None,Store,Delhi
10095,Male,61.0,Silver,Online,Bangalore
10096,Female,65.0,Silver,Store,Bangalore
10097,Female,54.0,Silver,Online,Jaipur
10098,Female,42.0,Gold,Store,Pune
10099,Male,42.0,Gold,Mobile,Bangalore
10100,Female,30.0,Gold,Online,Mumbai
10101,Male,30.0,None,Online,Bangalore
10102,Male,29.0,Bronze,Store,Delhi
10103,Male,49.0,Silver,Mobile,Pune
10104,Female,52.0,Silver,Store,Jaipur
10105,Female,45.0,None,Mobile,Hyderabad
10106,Female,61.0,Bronze,Mobile,Chandigarh
10107,Female,69.0,Silver,Online,Chandigarh
10108,Female,37.0,Silver,Mobile,Jaipur
10109,Male,45.0,None,Mobile,Chandigarh
10110,Male,48.0,Bronze,Mobile,Pune
10111,Male,41.0,Silver,Mobile,Chandigarh
10112,Male,69.0,Gold,Online,Pune
10113,Female,28.0,Silver,Store,Chandigarh
10114,Female,59.0,Silver,Online,Chandigarh
10115,Male,33.0,Gold,Mobile,Mumbai
10116,Female,55.0,None,Online,Bangalore
10117,Female,34.0,Gold,Mobile,Delhi
10118,Male,62.0,None,Online,Hyderabad
10119,Male,67.0,Bronze,Store,Mumbai
10120,Female,61.0,Gold,Online,Jaipur
10121,Female,22.0,Silver,Online,Chandigarh
10122,Male,37.0,Gold,Store,Bangalore
10123,Male,65.0,None,Mobile,Pune
10124,Male,52.0,Silver,Store,Chandigarh
10125,Female,65.0,Silver,Store,Chandigarh
10126,Male,60.0,Bronze,Store,Chandigarh
10127,Male,31.0,None,Store,Delhi
10128,Female,43.0,Bronze,Online,Jaipur
10129,Female,62.0,Silver,Mobile,Jaipur
10130,Female,60.0,None,Mobile,Delhi
10131,Female,63.0,Gold,Mobile,Pune
10132,Female,59.0,Silver,Store,Hyderabad
10133,Male,41.0,None,Online,Pune
10134,Male,48.0,Silver,Store,Bangalore
10135,Female,35.0,Bronze,Store,Delhi
10136,Female,56.0,None,Online,Mumbai
10137,Female,67.0,Bronze,Store,Pune
10138,Female,39.0,Bronze,Online,Mumbai
10139,Female,38.0,None,Online,Delhi
10140,Male,51.0,None,Mobile,Delhi
10141,Male,42.0,None,Store,Bangalore
10142,Male,57.0,Bronze,Mobile,Hyderabad
10143,Male,64.0,None,Online,Pune
10144,Female,47.0,None,Store,Bangalore
10145,Male,23.0,Bronze,Mobile,Bangalore
10146,Female,62.0,Silver,Online,Bangalore
10147,Female,42.0,Bronze,Online,Delhi
10148,Female,22.0,None,Mobile,Jaipur
10149,Male,46.0,Silver,Mobile,Jaipur
10150,Female,39.0,Silver,Online,Pune
10151,Male,20.0,Gold,Mobile,Jaipur
10152,Male,64.0,Silver,Store,Delhi
10153,Female,47.0,None,Mobile,Jaipur
10154,Female,41.0,Silver,Mobile,Jaipur
10155,Female,58.0,Silver,Online,Chandigarh
10156,Male,34.0,Gold,Store,Mumbai
10157,Female,66.0,Silver,Store,Delhi
10158,Male,62.0,Gold,Store,Mumbai
10159,Female,67.0,Bronze,Mobile,Jaipur
10160,Female,37.0,None,Online,Hyderabad
10161,Male,43.0,Bronze,Online,Chandigarh
10162,Male,22.0,Bronze,Online,Jaipur
10163,Male,30.0,Bronze,Mobile,Chandigarh
10164,Male,56.0,None,Mobile,Chandigarh
10165,Male,21.0,None,Online,Hyderabad
10166,Male,62.0,Bronze,Online,Mumbai
10167,Female,34.0,Silver,Store,Delhi
10168,Female,57.0,Bronze,Online,Mumbai
10169,Male,52.0,Gold,Store,Mumbai
10170,Female,48.0,Gold,Mobile,Hyderabad
10171,Male,33.0,Silver,Mobile,Delhi
10172,Female,51.0,Bronze,Online,Chandigarh
10173,Female,49.0,Bronze,Mobile,Mumbai
10174,Male,50.0,Bronze,Store,Delhi
10175,Male,25.0,Silver,Online,Bangalore
10176,Male,47.0,Bronze,Mobile,Jaipur
10177,Female,20.0,Silver,Mobile,Hyderabad
10178,Male,34.0,Silver,Store,Pune
10179,Female,68.0,Silver,Online,Pune
10180,Male,41.0,None,Online,Delhi
10181,Female,33.0,None,Online,Mumbai
10182,Female,37.0,Gold,Store,Jaipur
10183,Male,27.0,Gold,Store,Hyderabad
10184,Female,41.0,None,Store,Delhi
10185,Female,64.0,None,Mobile,Hyderabad
10186,Male,24.0,Bronze,Store,Mumbai
10187,Female,65.0,None,Mobile,Chandigarh
10188,Male,66.0,Bronze,Store,Bangalore
10189,Male,37.0,Silver,Store,Pune
10190,Male,30.0,Silver,Mobile,Bangalore
10191,Male,46.0,Gold,Online,Pune
10192,Female,27.0,Bronze,Mobile,Pune
10193,Female,26.0,Bronze,Store,Delhi
10194,Female,24.0,Bronze,Mobile,Chandigarh
10195,Male,61.0,Gold,Online,Chandigarh
10196,Female,50.0,None,Store,Delhi
10197,Female,41.0,Silver,Mobile,Mumbai
10198,Male,33.0,Silver,Mobile,Chandigarh
10199,Male,49.0,Bronze,Mobile,Mumbai
10200,Female,21.0,Silver,Online,Bangalore
10201,Male,31.0,None,Store,Jaipur
10202,Male,46.0,Bronze,Mobile,Bangalore
10203,Male,39.0,Gold,Mobile,Mumbai
10204,Male,40.0,None,Online,Mumbai
10205,Female,43.0,Bronze,Online,Jaipur
10206,Male,43.0,None,Store,Hyderabad
10207,Male,66.0,Bronze,Online,Bangalore
10208,Male,61.0,Silver,Online,Chandigarh
10209,Male,64.0,Gold,Store,Mumbai
10210,Male,39.0,None,Store,Jaipur
10211,Male,61.0,None,Online,Chandigarh
10212,Male,20.0,Bronze,Online,Chandigarh
10213,Male,59.0,Bronze,Store,Mumbai
10214,Female,69.0,None,Online,Hyderabad
10215,Male,34.0,Silver,Store,Bangalore
10216,Female,31.0,None,Mobile,Hyderabad
10217,Male,62.0,Silver,Store,Hyderabad
10218,Male,47.0,None,Store,Chandigarh
10219,Male,30.0,Bronze,Online,Jaipur
10220,Male,43.0,Silver,Store,Jaipur
10221,Female,57.0,Gold,Online,Mumbai
10222,Male,49.0,Gold,Store,Mumbai
10223,Male,63.0,Bronze,Mobile,Pune
10224,Female,51.0,None,Mobile,Delhi
10225,Female,68.0,None,Mobile,Chandigarh
10226,Male,40.0,Gold,Online,Jaipur
10227,Female,51.0,Silver,Mobile,Hyderabad
10228,Female,61.0,Silver,Store,Pune
10229,Female,69.0,None,Online,Delhi
10230,Male,29.0,Silver,Online,Delhi
10231,Male,40.0,Gold,Mobile,Pune
10232,Male,45.0,Silver,Store,Pune
10233,Female,36.0,Bronze,Store,Delhi
10234,Male,65.0,Silver,Mobile,Bangalore
10235,Female,51.0,Gold,Mobile,Hyderabad
10236,Male,25.0,Silver,Mobile,Chandigarh
10237,Male,51.0,Gold,Mobile,Chandigarh
10238,Female,59.0,None,Mobile,Hyderabad
10239,Male,33.0,Silver,Online,Chandigarh
10240,Female,24.0,Silver,Mobile,Pune
10241,Female,44.0,Silver,Mobile,Chandigarh
10242,Male,68.0,Gold,Online,Delhi
10243,Female,37.0,Gold,Online,Hyderabad
10244,Male,52.0,Gold,Mobile,Mumbai
10245,Male,34.0,Silver,Online,Chandigarh
10246,Female,45.0,Gold,Mobile,Bangalore
10247,Male,25.0,None,Online,Delhi
10248,Female,21.0,Bronze,Mobile,Chandigarh
10249,Male,50.0,Silver,Store,Hyderabad
10250,Male,67.0,Bronze,Online,Chandigarh
10251,Male,39.0,None,Online,Chandigarh
10252,Male,48.0,Silver,Store,Chandigarh
10253,Male,18.0,Bronze,Store,Jaipur
10254,Female,58.0,Bronze,Mobile,Pune
10255,Female,31.0,Bronze,Store,Bangalore
10256,Female,24.0,None,Mobile,Jaipur
10257,Female,25.0,None,Online,Delhi
10258,Female,25.0,Silver,Mobile,Chandigarh
10259,Female,41.0,Gold,Store,Chandigarh
10260,Male,18.0,Gold,Online,Hyderabad
10261,Male,52.0,Silver,Mobile,Jaipur
10262,Female,58.0,Bronze,Store,Hyderabad
10263,Female,25.0,Bronze,Mobile,Hyderabad
10264,Male,22.0,None,Online,Bangalore
10265,Male,49.0,Silver,Store,Chandigarh
10266,Male,18.0,Gold,Mobile,Bangalore
10267,Female,19.0,Silver,Mobile,Chandigarh
10268,Female,59.0,Bronze,Online,Pune
10269,Female,63.0,Bronze,Online,Mumbai
10270,Male,32.0,Gold,Online,Hyderabad
10271,Male,59.0,Silver,Online,Mumbai
10272,Female,26.0,Bronze,Online,Chandigarh
10273,Female,29.0,Silver,Online,Delhi
10274,Male,27.0,Gold,Store,Pune
10275,Male,41.0,None,Mobile,Bangalore
10276,Male,58.0,Gold,Store,Jaipur
10277,Male,67.0,None,Mobile,Pune
10278,Female,36.0,Gold,Store,Delhi
10279,Male,68.0,None,Store,Mumbai
10280,Male,34.0,None,Store,Delhi
10281,Male,19.0,Gold,Online,Hyderabad
10282,Female,27.0,Bronze,Online,Mumbai
10283,Female,22.0,Silver,Mobile,Jaipur
10284,Male,56.0,None,Mobile,Delhi
10285,Male,23.0,Bronze,Store,Chandigarh
10286,Male,19.0,Bronze,Online,Hyderabad
10287,Female,25.0,Silver,Mobile,Hyderabad
10288,Female,21.0,Silver,Store,Pune
10289,Female,67.0,Gold,Online,Jaipur
10290,Male,48.0,Gold,Mobile,Hyderabad
10291,Female,53.0,Silver,Store,Hyderabad
10292,Male,25.0,None,Online,Pune
10293,Male,48.0,None,Online,Hyderabad
10294,Male,,None,Online,Bangalore
10295,Female,63.0,Gold,Online,Hyderabad
10296,Male,57.0,None,Store,Bangalore
10297,Female,31.0,Gold,Mobile,Pune
10298,Female,25.0,None,Mobile,Mumbai
10299,Male,42.0,Bronze,Store,Chandigarh
10300,Male,31.0,Silver,Online,Bangalore
10301,Female,40.0,Silver,Mobile,Jaipur
10302,Male,60.0,Silver,Mobile,Delhi
10303,Female,58.0,None,Online,Chandigarh
10304,Male,34.0,Bronze,Online,Bangalore
10305,Female,66.0,Gold,Mobile,Bangalore
10306,Female,29.0,Gold,Online,Jaipur
10307,Female,37.0,Gold,Mobile,Chandigarh
10308,Female,51.0,Gold,Store,Mumbai
10309,Male,66.0,None,Store,Jaipur
10310,Male,69.0,Silver,Store,Delhi
10311,Female,28.0,Silver,Mobile,Bangalore
10312,Female,44.0,Silver,Online,Chandigarh
10313,Male,26.0,Silver,Online,Hyderabad
10314,Male,35.0,Bronze,Mobile,Bangalore
10315,Male,55.0,Bronze,Online,Jaipur
10316,Male,53.0,None,Online,Hyderabad
10317,Male,63.0,Gold,Online,Hyderabad
10318,Male,45.0,Bronze,Mobile,Bangalore
10319,Female,37.0,Bronze,Store,Chandigarh
10320,Male,59.0,Bronze,Store,Mumbai
10321,Male,46.0,Bronze,Store,Pune
10322,Female,21.0,Gold,Mobile,Hyderabad
10323,Male,32.0,None,Store,Bangalore
10324,Male,58.0,None,Mobile,Hyderabad
10325,Male,61.0,Silver,Mobile,Delhi
10326,Male,45.0,Silver,Store,Chandigarh
10327,Male,57.0,Gold,Online,Hyderabad
10328,Female,41.0,None,Online,Bangalore
10329,Male,54.0,Bronze,Store,Mumbai
10330,Female,33.0,Silver,Store,Jaipur
10331,Female,39.0,Bronze,Store,Bangalore
10332,Male,64.0,None,Online,Mumbai
10333,Female,34.0,Gold,Online,Jaipur
10334,Male,18.0,Bronze,Mobile,Pune
10335,Female,48.0,None,Online,Bangalore
10336,Female,42.0,Bronze,Mobile,Bangalore
10337,Male,,None,Store,Chandigarh
10338,Male,37.0,None,Online,Chandigarh
10339,Male,36.0,Bronze,Mobile,Hyderabad
10340,Male,22.0,Bronze,Mobile,Chandigarh
10341,Male,32.0,Silver,Store,Jaipur
10342,Female,58.0,None,Store,Bangalore
10343,Female,42.0,Silver,Online,Jaipur
10344,Female,52.0,None,Online,Chandigarh
10345,Female,61.0,Silver,Mobile,Delhi
10346,Female,68.0,Bronze,Online,Jaipur
10347,Female,64.0,None,Store,Jaipur
10348,Female,20.0,Bronze,Online,Pune
10349,Male,69.0,Bronze,Online,Chandigarh
10350,Male,35.0,Bronze,Store,Delhi
10351,Female,39.0,Silver,Store,Jaipur
10352,Female,33.0,Silver,Store,Jaipur
10353,Male,32.0,Silver,Mobile,Bangalore
10354,Male,22.0,Bronze,Online,Delhi
10355,Male,59.0,Silver,Online,Pune
10356,Male,59.0,None,Store,Hyderabad
10357,Female,30.0,Silver,Mobile,Delhi
10358,Male,67.0,Silver,Mobile,Chandigarh
10359,Female,45.0,Bronze,Online,Mumbai
10360,Female,27.0,Silver,Online,Pune
10361,Female,33.0,Silver,Online,Pune
10362,Male,19.0,Silver,Online,Bangalore
10363,Male,67.0,Silver,Mobile,Jaipur
10364,Female,53.0,Bronze,Online,Jaipur
10365,Female,68.0,Bronze,Store,Mumbai
10366,Female,42.0,Silver,Online,Delhi
10367,Male,22.0,Bronze,Mobile,Jaipur
10368,Female,45.0,Bronze,Store,Delhi
10369,Male,34.0,Bronze,Online,Mumbai
10370,Female,19.0,Silver,Online,Delhi
10371,Female,32.0,Bronze,Online,Jaipur
10372,Female,55.0,None,Online,Pune
10373,Male,46.0,Gold,Store,Pune
10374,Male,40.0,Silver,Mobile,Chandigarh
10375,Female,35.0,None,Store,Pune
10376,Male,31.0,Bronze,Mobile,Jaipur
10377,Female,49.0,Silver,Online,Delhi
10378,Male,61.0,Silver,Mobile,Hyderabad
10379,Male,23.0,Gold,Mobile,Chandigarh
10380,Male,45.0,Bronze,Online,Jaipur
10381,Female,69.0,Silver,Mobile,Chandigarh
10382,Male,69.0,Gold,Online,Pune
10383,Male,35.0,None,Store,Jaipur
10384,Female,52.0,None,Online,Mumbai
10385,Female,55.0,None,Store,Bangalore
10386,Female,21.0,Gold,Mobile,Bangalore
10387,Female,68.0,Bronze,Store,Chandigarh
10388,Male,66.0,Gold,Mobile,Pune
10389,Male,48.0,Silver,Online,Hyderabad
10390,Male,28.0,Bronze,Mobile,Delhi
10391,Male,63.0,Bronze,Store,Bangalore
10392,Male,28.0,Silver,Mobile,Pune
10393,Female,46.0,None,Mobile,Bangalore
10394,Male,36.0,Bronze,Mobile,Jaipur
10395,Male,34.0,Bronze,Mobile,Pune
10396,Male,21.0,Gold,Online,Pune
10397,Female,61.0,Gold,Online,Chandigarh
10398,Female,21.0,Gold,Online,Pune
10399,Male,29.0,Silver,Online,Jaipur
10400,Female,66.0,Silver,Mobile,Delhi
10401,Female,64.0,Bronze,Mobile,Delhi
10402,Female,24.0,Bronze,Online,Delhi
10403,Female,38.0,Bronze,Mobile,Hyderabad
10404,Female,50.0,Bronze,Store,Hyderabad
10405,Female,54.0,None,Online,Delhi
10406,Female,29.0,Bronze,Online,Bangalore
10407,Male,24.0,Bronze,Store,Hyderabad
10408,Male,32.0,Silver,Store,Jaipur
10409,Female,54.0,Gold,Online,Jaipur
10410,Male,26.0,Bronze,Online,Pune
10411,Male,50.0,None,Online,Pune
10412,Female,55.0,Bronze,Online,Mumbai
10413,Male,33.0,Gold,Mobile,Pune
10414,Female,48.0,Silver,Online,Chandigarh
10415,Female,32.0,Bronze,Online,Hyderabad
10416,Female,19.0,Bronze,Online,Bangalore
10417,Male,30.0,Bronze,Store,Jaipur
10418,Male,22.0,Silver,Store,Pune
10419,Male,65.0,Silver,Mobile,Chandigarh
10420,Male,50.0,Silver,Mobile,Bangalore
10421,Female,49.0,None,Mobile,Bangalore
10422,Female,59.0,Gold,Mobile,Jaipur
10423,Male,65.0,None,Store,Bangalore
10424,Female,62.0,Bronze,Mobile,Delhi
10425,Female,38.0,Gold,Store,Chandigarh
10426,Male,19.0,Bronze,Store,Chandigarh
10427,Female,53.0,Gold,Online,Jaipur
10428,Male,50.0,Gold,Online,Mumbai
10429,Female,28.0,Silver,Mobile,Pune
10430,Male,58.0,Bronze,Store,Pune
10431,Female,40.0,Bronze,Mobile,Mumbai
10432,Female,55.0,None,Mobile,Pune
10433,Male,50.0,Silver,Store,Mumbai
10434,Male,57.0,None,Online,Pune
10435,Male,25.0,Bronze,Store,Delhi
10436,Male,53.0,Gold,Online,Bangalore
10437,Female,53.0,Gold,Mobile,Delhi
10438,Female,50.0,Gold,Online,Pune
10439,Male,46.0,Bronze,Online,Jaipur
10440,Female,48.0,Gold,Online,Jaipur
10441,Male,47.0,Gold,Online,Mumbai
10442,Male,25.0,Gold,Store,Bangalore
10443,Female,43.0,None,Mobile,Hyderabad
10444,Female,40.0,Bronze,Online,Pune
10445,Male,67.0,Silver,Store,Bangalore
10446,Male,69.0,None,Online,Mumbai
10447,Male,68.0,Gold,Store,Bangalore
10448,Female,60.0,Gold,Store,Mumbai
10449,Female,43.0,Bronze,Online,Delhi
10450,Female,69.0,Bronze,Online,Mumbai
10451,Female,59.0,Silver,Mobile,Delhi
10452,Male,55.0,Gold,Mobile,Delhi
10453,Male,56.0,Bronze,Online,Hyderabad
10454,Male,19.0,Bronze,Online,Hyderabad
10455,Male,43.0,Bronze,Store,Bangalore
10456,Male,35.0,Silver,Online,Delhi
10457,Male,44.0,None,Mobile,Delhi
10458,Female,67.0,Bronze,Store,Chandigarh
10459,Female,34.0,Silver,Mobile,Hyderabad
10460,Male,62.0,Bronze,Online,Bangalore
10461,Male,32.0,Silver,Mobile,Hyderabad
10462,Female,60.0,None,Online,Chandigarh
10463,Female,24.0,None,Mobile,Chandigarh
10464,Female,34.0,Gold,Online,Chandigarh
10465,Female,36.0,Bronze,Store,Mumbai
10466,Male,44.0,Gold,Store,Jaipur
10467,Male,57.0,Silver,Store,Mumbai
10468,Male,34.0,Bronze,Mobile,Jaipur
10469,Male,49.0,None,Store,Delhi
10470,Male,33.0,Silver,Mobile,Hyderabad
10471,Female,47.0,Gold,Mobile,Bangalore
10472,Male,31.0,None,Mobile,Hyderabad
10473,Female,67.0,Silver,Mobile,Delhi
10474,Male,58.0,None,Store,Mumbai
10475,Male,35.0,Silver,Online,Mumbai
10476,Male,39.0,Gold,Store,Hyderabad
10477,Male,69.0,None,Mobile,Hyderabad
10478,Male,33.0,None,Online,Jaipur
10479,Female,66.0,Bronze,Mobile,Bangalore
10480,Female,66.0,None,Store,Hyderabad
10481,Female,33.0,None,Mobile,Jaipur
10482,Male,43.0,Silver,Mobile,Pune
10483,Male,68.0,Silver,Online,Hyderabad
10484,Female,60.0,Bronze,Mobile,Hyderabad
10485,Male,23.0,Bronze,Online,Hyderabad
10486,Male,68.0,Gold,Mobile,Jaipur
10487,Female,24.0,Silver,Store,Delhi
10488,Male,26.0,Gold,Online,Mumbai
10489,Female,61.0,Silver,Mobile,Chandigarh
10490,Male,43.0,Bronze,Store,Pune
10491,Female,19.0,Bronze,Online,Jaipur
10492,Male,53.0,None,Store,Chandigarh
10493,Male,20.0,None,Online,Bangalore
10494,Female,38.0,Silver,Store,Bangalore
10495,Male,61.0,Bronze,Online,Bangalore
10496,Male,20.0,Silver,Mobile,Hyderabad
10497,Female,26.0,Bronze,Mobile,Chandigarh
10498,Male,29.0,Silver,Store,Bangalore
10499,Female,25.0,Bronze,Mobile,Jaipur
10500,Male,68.0,None,Mobile,Pune
10501,Male,54.0,Bronze,Mobile,Chandigarh
10502,Male,38.0,Silver,Mobile,Mumbai
10503,Male,54.0,None,Store,Chandigarh
10504,Female,57.0,Bronze,Online,Hyderabad
10505,Male,20.0,Silver,Online,Chandigarh
10506,Female,68.0,Bronze,Store,Hyderabad
10507,Male,58.0,Bronze,Online,Bangalore
10508,Male,38.0,Silver,Online,Pune
10509,Male,43.0,Silver,Mobile,Bangalore
10510,Male,41.0,Gold,Mobile,Bangalore
10511,Female,63.0,Gold,Store,Pune
10512,Female,69.0,Bronze,Online,Delhi
10513,Female,51.0,None,Store,Hyderabad
10514,Female,49.0,Gold,Store,Mumbai
10515,Male,44.0,Bronze,Online,Hyderabad
10516,Female,64.0,Gold,Online,Bangalore
10517,Female,47.0,Gold,Mobile,Jaipur
10518,Male,21.0,Silver,Online,Hyderabad
10519,Male,19.0,Bronze,Online,Delhi
10520,Male,40.0,Silver,Store,Hyderabad
10521,Male,58.0,Silver,Online,Delhi
10522,Female,21.0,Gold,Online,Pune
10523,Female,54.0,Silver,Online,Pune
10524,Male,28.0,Gold,Store,Hyderabad
10525,Male,53.0,Gold,Mobile,Chandigarh
10526,Male,53.0,None,Online,Jaipur
10527,Female,32.0,Bronze,Mobile,Mumbai
10528,Female,54.0,Bronze,Mobile,Pune
10529,Male,20.0,Bronze,Store,Hyderabad
10530,Male,65.0,Silver,Store,Jaipur
10531,Female,47.0,Bronze,Mobile,Hyderabad
10532,Male,40.0,None,Store,Delhi
10533,Male,50.0,Silver,Mobile,Bangalore
10534,Female,18.0,Bronze,Online,Mumbai
10535,Male,18.0,Gold,Store,Pune
10536,Female,20.0,None,Online,Bangalore
10537,Male,26.0,None,Online,Hyderabad
10538,Male,49.0,None,Store,Delhi
10539,Female,30.0,Silver,Online,Hyderabad
10540,Female,62.0,Bronze,Mobile,Bangalore
10541,Male,48.0,None,Mobile,Delhi
10542,Female,38.0,Bronze,Online,Pune
10543,Male,40.0,Silver,Mobile,Delhi
10544,Male,30.0,Gold,Online,Jaipur
10545,Female,43.0,Silver,Online,Delhi
10546,Male,42.0,Bronze,Store,Delhi
10547,Male,25.0,Bronze,Online,Jaipur
10548,Female,57.0,Bronze,Mobile,Bangalore
10549,Female,47.0,None,Store,Bangalore
10550,Male,68.0,Gold,Mobile,Jaipur
10551,Female,22.0,Bronze,Mobile,Hyderabad
10552,Female,41.0,Silver,Mobile,Bangalore
10553,Female,27.0,Bronze,Mobile,Bangalore
10554,Female,36.0,None,Store,Hyderabad
10555,Male,52.0,Gold,Store,Chandigarh
10556,Male,39.0,Gold,Store,Delhi
10557,Male,56.0,Silver,Mobile,Bangalore
10558,Female,55.0,Bronze,Store,Mumbai
10559,Female,24.0,Bronze,Mobile,Pune
10560,Female,56.0,None,Mobile,Bangalore
10561,Female,37.0,None,Mobile,Jaipur
10562,Female,57.0,None,Store,Bangalore
10563,Female,49.0,None,Mobile,Pune
10564,Female,19.0,None,Online,Bangalore
10565,Male,32.0,None,Mobile,Hyderabad
10566,Male,27.0,Gold,Online,Jaipur
10567,Female,38.0,Gold,Mobile,Delhi
10568,Female,32.0,None,Mobile,Hyderabad
10569,Female,51.0,Silver,Store,Bangalore
10570,Male,52.0,Silver,Store,Jaipur
10571,Male,68.0,Bronze,Online,Bangalore
10572,Female,22.0,None,Mobile,Bangalore
10573,Female,36.0,Silver,Store,Bangalore
10574,Male,24.0,None,Mobile,Chandigarh
10575,Male,63.0,Silver,Mobile,Jaipur
10576,Male,61.0,Gold,Store,Delhi
10577,Male,59.0,Gold,Store,Mumbai
10578,Female,59.0,None,Online,Jaipur
10579,Male,53.0,Gold,Mobile,Jaipur
10580,Male,35.0,Silver,Mobile,Mumbai
10581,Female,23.0,Gold,Mobile,Mumbai
10582,Male,69.0,Gold,Online,Hyderabad
10583,Male,21.0,Silver,Online,Pune
10584,Male,22.0,Gold,Online,Pune
10585,Female,31.0,Gold,Mobile,Bangalore
10586,Male,58.0,None,Mobile,Chandigarh
10587,Female,64.0,Bronze,Online,Hyderabad
10588,Female,50.0,Silver,Store,Delhi
10589,Male,38.0,Bronze,Online,Mumbai
10590,Male,30.0,Gold,Online,Hyderabad
10591,Male,19.0,Bronze,Mobile,Jaipur
10592,Male,32.0,Gold,Online,Chandigarh
10593,Female,64.0,Silver,Store,Delhi
10594,Male,33.0,None,Online,Hyderabad
